Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange,F(1) Consensus Sales Est. ($mil),P/E (F1)
"First Mid-Illinois Bancshares, Inc.",FMBH,402.28,NO,NSDQ,177.49699,9.76
"First Midwest Bancorp, Inc.",FMBI,1445.45,NO,NSDQ,740.07501,9.25
Farmers National Banc Corp.,FMNB,313.47,NO,NSDQ,121.37999,10.39
FEDNAT HOLDING CO,FNHC,159.95,NO,NSDQ,486.70999,7.43
"Finjan Holdings, Inc.",FNJN,34.27,NO,NSDQ,61,2.03
"Funko, Inc.",FNKO,173.6,NO,NSDQ,753.78002,5.21
Focus Financial Partners Inc.,FOCS,1384.36,NO,NSDQ,1320.84204,7.81
"FormFactor, Inc.",FORM,1720.94,NO,NSDQ,590.65002,23.42
"Forrester Research, Inc.",FORR,619.39,NO,NSDQ,483.05999,20.38
Fox Factory Holding Corp.,FOXF,1668.81,NO,NSDQ,752.99798,18.93
First Bank,FRBA,131.32,NO,NSDQ,69.59999,7.53
"Fiesta Restaurant Group, Inc.",FRGI,154,NO,NSDQ,653.16998,11.74
First Merchants Corporation,FRME,1422.56,NO,NSDQ,475.733,10.08
"Freshpet, Inc.",FRPT,3054.15,NO,NSDQ,310.087,209.04
FORTERRA INC,FRTA,437.76,NO,NSDQ,1602,9.78
"FS Bancorp, Inc.",FSBW,158.13,NO,NSDQ,94.735,7.34
"First Solar, Inc.",FSLR,4324.3,NO,NSDQ,2807.96997,13.97
L.B. Foster Company,FSTR,135.12,NO,NSDQ,667.61999,6.31
FirstService Corporation,FSV,3386.09,NO,NSDQ,2731.6499,26.05
"Frontdoor, Inc.",FTDR,3058.98,NO,NSDQ,1432.90405,21.26
Fulton Financial Corporation,FULT,1715.42,NO,NSDQ,855.59997,30.26
"Fvcbankcorp, Inc.",FVCB,138.86,NO,NSDQ,51.59999,10.06
Forward Air Corporation,FWRD,1405.33,NO,NSDQ,1360.40002,21.41
"German American Bancorp, Inc.",GABC,740.39,NO,NSDQ,196.3,14.94
Gladstone Investment Corporation,GAIN,337.1,NO,NSDQ,58.31299,12.22
Garrison Capital Inc.,GARS,32.74,NO,NSDQ,33.38999,3.4
"StealthGas, Inc.",GASS,82,NO,NSDQ,135.69,19
"Glacier Bancorp, Inc.",GBCI,3039.67,NO,NSDQ,671.05297,15.68
"Golub Capital BDC, Inc.",GBDC,1474.54,NO,NSDQ,328.23001,8.77
ChaSerg Technology Acquisition Corp.,GDYN,233.56,NO,NSDQ,141.25,26.21
"Great Elm Capital Group, Inc.",GECC,35.32,NO,NSDQ,27.59399,3.71
"Guaranty Federal Bancshares, Inc.",GFED,62.72,NO,NSDQ,39,7.84
General Finance Corporation,GFN,176.9,NO,NSDQ,370,8.89
Grupo Financiero Galicia S.A.,GGAL,870.35,NO,NSDQ,2329.2749,1.25
"G-III Apparel Group, LTD.",GIII,424.88,NO,NSDQ,2642.13208,8.97
Gladstone Capital Corporation,GLAD,192.52,NO,NSDQ,51.91299,7.33
Golar LNG Limited,GLNG,625.03,NO,NSDQ,422.858,23.73
"Gaming and Leisure Properties, Inc.",GLPI,5379.7,NO,NSDQ,1169.68798,7.51
Glu Mobile Inc.,GLUU,1203.26,NO,NSDQ,463.90701,31.66
Genmab A/S Sponsored ADR,GMAB,15650.64,NO,NSDQ,748.75598,110.09
Golar LNG Partners LP,GMLP,194.05,NO,NSDQ,289.01699,3.67
LRAD Corporation,GNSS,120.16,NO,NSDQ,45.29999,27.92
Gentex Corporation,GNTX,5955.24,NO,NSDQ,1758.49401,17.43
Guaranty Bancshares Inc.,GNTY,275.05,NO,NSDQ,109.19999,12.23
Grocery Outlet Holding Corp.,GO,3135.75,NO,NSDQ,2980.83691,38.84
Gladstone Commercial Corporation,GOOD,479.31,NO,NSDQ,123.107,8.89
Green Plains Partners LP,GPP,106.3,NO,NSDQ,77.69,2.85
"Green Brick Partners, Inc.",GRBK,361.49,NO,NSDQ,1052.85998,4.53
"Grifols, S.A.",GRFS,13916.01,NO,NSDQ,6115.39013,14.77
GrowGeneration Corp.,GRWG,165.89,NO,NSDQ,128.83999,29
"Great Southern Bancorp, Inc.",GSBC,551.89,NO,NSDQ,202.955,9.74
Goosehead Insurance Inc.,GSHD,1817.5,NO,NSDQ,96.69,110.07
"GreenSky, Inc.",GSKY,591.85,NO,NSDQ,521.46197,8.73
The Goodyear Tire & Rubber Company,GT,1609.04,NO,NSDQ,12953.13964,30.28
"Chart Industries, Inc.",GTLS,1165.14,NO,NSDQ,1341.06799,13.2
"Global Water Resources, Inc.",GWRS,230.33,NO,NSDQ,36.4,170.33
Hanmi Financial Corporation,HAFC,326.03,NO,NSDQ,195.113,8.26
"The Hain Celestial Group, Inc.",HAIN,2874.76,NO,NSDQ,2033.34997,37.62
"Hallmark Financial Services, Inc.",HALL,56.91,NO,NSDQ,500.553,7.85
"Halozyme Therapeutics, Inc.",HALO,3233.58,NO,NSDQ,236.91999,37.17
"Haynes International, Inc.",HAYN,256.9,NO,NSDQ,444.729,341
"Home Bancorp, Inc.",HBCP,212.81,NO,NSDQ,97.65699,8.84
"Harvard Bioscience, Inc.",HBIO,102.77,NO,NSDQ,119.5,11.65
"Howard Bancorp, Inc.",HBMD,184.17,NO,NSDQ,78.94,12.78
Horizon Bancorp (IN),HBNC,458.7,NO,NSDQ,208.43299,7.85
"HBT Financial, Inc.",HBT,288.57,NO,NSDQ,153.61999,7.36
Harvest Capital Credit Corporation,HCAP,25.38,NO,NSDQ,15.39,5.07
"Heritage-Crystal Clean, Inc.",HCCI,392.46,NO,NSDQ,435.89999,32.44
"The Hackett Group, Inc.",HCKT,431.89,NO,NSDQ,292.36801,13.23
"Healthcare Services Group, Inc.",HCSG,1763.37,NO,NSDQ,1814.11999,22.68
"HD Supply Holdings, Inc.",HDS,4511.31,NO,NSDQ,5780.11181,10.91
"H&E Equipment Services, Inc.",HEES,484.2,NO,NSDQ,1366.30004,8.05
Helen of Troy Limited,HELE,3615.42,NO,NSDQ,1538.92004,18.83
Heritage Financial Corporation,HFWA,669.62,NO,NSDQ,217.95199,15.26
HeadHunter Group PLC Sponsored ADR,HHR,728.5,NO,NSDQ,117.51499,20.62
"Himax Technologies, Inc.",HIMX,568.08,NO,NSDQ,808.65698,27.5
"Helios Technologies, Inc",HLIO,979.66,NO,NSDQ,463.578,19.32
Harmonic Inc.,HLIT,641.52,NO,NSDQ,405.31399,41.38
Hamilton Lane Inc.,HLNE,3008.7,NO,NSDQ,310.27999,28.71
"HomeStreet, Inc.",HMST,513.75,NO,NSDQ,266.19299,13.06
HMS Holdings Corp,HMSY,2489.65,NO,NSDQ,705.94799,22.92
Hallador Energy Company,HNRG,20.93,NO,NSDQ,259.70001,4.3
"Hollysys Automation Technologies, Ltd.",HOLI,809.76,NO,NSDQ,676.61499,5.86
"Home BancShares, Inc.",HOMB,2175.16,NO,NSDQ,642.73297,14.5
"HarborOne Bancorp, Inc.",HONE,438.14,NO,NSDQ,192.89999,25.42
"Hope Bancorp, Inc.",HOPE,1035.34,NO,NSDQ,478.99798,9.14
"HealthEquity, Inc.",HQY,3638.93,NO,NSDQ,778.13,29.3
Horizon Technology Finance Corporation,HRZN,152.38,NO,NSDQ,46.316,7.14
"Heidrick & Struggles International, Inc.",HSII,454.21,NO,NSDQ,621.52001,81.24
"Hudson Global, Inc.",HSON,27.87,NO,NSDQ,104.5,189.8
"HealthStream, Inc.",HSTM,792.99,NO,NSDQ,251.145,89.49
Heritage Commerce Corp,HTBK,462.25,NO,NSDQ,152.47,10.18
"Heartland Express, Inc.",HTLD,1623.05,NO,NSDQ,655.294,29.67
"Heartland Financial USA, Inc.",HTLF,1104.95,NO,NSDQ,579.34698,9.75
"Hub Group, Inc.",HUBG,1585.73,NO,NSDQ,3636.9729,14.65
Huron Consulting Group Inc.,HURN,1139.63,NO,NSDQ,866.36999,21.47
Hancock Whitney Corporation,HWC,1643.68,NO,NSDQ,1219.40002,8.62
"Hawkins, Inc.",HWKN,374.95,NO,NSDQ,570.98999,12.1
Horizon Therapeutics Public Limited Company,HZNP,6330.29,NO,NSDQ,1320.16699,19.05
IAC/InterActiveCorp,IAC,18958.05,NO,NSDQ,5072.4121,66.49
Integra LifeSciences Holdings Corporation,IART,4065.09,NO,NSDQ,1535.45202,17.11
Independent Bank Corporation,IBCP,295.61,NO,NSDQ,170.01699,8.99
IBERIABANK Corporation,IBKC,1913.23,NO,NSDQ,1167.40002,7.5
"Interactive Brokers Group, Inc.",IBKR,16043.87,NO,NSDQ,1862.09997,19.6
"Independent Bank Group, Inc",IBTX,1145.75,NO,NSDQ,1044.59997,6.81
"County Bancorp, Inc.",ICBK,120.52,NO,NSDQ,48.91999,11.74
"ICF International, Inc.",ICFI,1284.94,NO,NSDQ,1535.51,17.41
"Ichor Holdings, Ltd.",ICHR,507.64,NO,NSDQ,795.48999,10.07
ICON PLC,ICLR,7990.21,NO,NSDQ,2814.09497,23.58
CM Finance Inc,ICMB,65.48,NO,NSDQ,34.40999,4.6
"ICU Medical, Inc.",ICUI,4686.84,NO,NSDQ,1192,32.81
"InterDigital, Inc.",IDCC,1490.4,NO,NSDQ,312.1,46.46
"Intellicheck Mobilisa, Inc.",IDN,79.75,NO,NSDQ,12.22,210.86
"iHeartMedia, Inc.",IHRT,369.73,NO,NSDQ,3430.6831,12.84
"Information Services Group, Inc.",III,112.83,NO,NSDQ,266.85699,9.6
"i3 Verticals, Inc.",IIIV,572.19,NO,NSDQ,164.53999,23.83
IntriCon Corporation,IIN,95.01,NO,NSDQ,106.18,154
II-VI Incorporated,IIVI,2820.13,NO,NSDQ,2207.63305,22.14
Industrial Logistics Properties Trust,ILPT,1089.91,NO,NSDQ,259.39498,9.53
"Ingles Markets, Incorporated",IMKTA,804.08,NO,NSDQ,4317,9.23
"INTERNATIONAL MONEY EXPRESS, INC.",IMXI,287.92,NO,NSDQ,346.25,7.94
First Internet Bancorp,INBK,139.2,NO,NSDQ,86.76,8.05
Independent Bank Corp.,INDB,2297.51,NO,NSDQ,509.5,14.61
"Inogen, Inc",INGN,1090.64,NO,NSDQ,386.25799,70.89
InMode Ltd.,INMD,719.39,NO,NSDQ,115.76799,30.82
"Inovalon Holdings, Inc.",INOV,2694.98,NO,NSDQ,701.25799,29.56
"Innoviva, Inc.",INVA,1347.29,NO,NSDQ,214.16,8.47
"InnerWorkings, Inc.",INWK,56.84,NO,NSDQ,1150.71997,6.06
Adesto Technologies Corporation,IOTS,368.59,NO,NSDQ,141.24,55.25
"Inter Parfums, Inc.",IPAR,1370.65,NO,NSDQ,676.38299,30.4
iRobot Corporation,IRBT,1536.03,NO,NSDQ,1057.44995,87.48
IRSA Propiedades Comerciales S.A.,IRCP,204.75,NO,NSDQ,159.49,3.04
iRadimed Corporation,IRMD,242.21,NO,NSDQ,34.75,49.56
"Ironwood Pharmaceuticals, Inc.",IRWD,1626.36,NO,NSDQ,374.41299,18.03
"Investors Bancorp, Inc.",ISBC,2046.22,NO,NSDQ,754,9.11
Investar Holding Corporation,ISTR,129.09,NO,NSDQ,82.34999,7.01
"Itron, Inc.",ITRI,2623.51,NO,NSDQ,2399.26708,21.36
Ituran Location and Control Ltd.,ITRN,332.94,NO,NSDQ,268.45999,10.69
"Intevac, Inc.",IVAC,124.39,NO,NSDQ,117.9,20.31
Jack In The Box Inc.,JACK,1265.07,NO,NSDQ,935.341,18.64
Jazz Pharmaceuticals PLC,JAZZ,6014.65,NO,NSDQ,2305.87109,8.54
"j2 Global, Inc.",JCOM,3660.19,NO,NSDQ,1473.89001,10.1
"Communications Systems, Inc.",JCS,48.23,NO,NSDQ,52.2,47.36
Jiayin Group Inc. Sponsored ADR,JFIN,124.94,NO,NSDQ,242.19999,2.92
J & J Snack Foods Corp.,JJSF,2227.33,NO,NSDQ,1097.55004,29.81
Johnson Outdoors Inc.,JOUT,602.93,NO,NSDQ,570.94799,11.69
"James River Group Holdings, Ltd.",JRVR,1039.21,NO,NSDQ,757.09997,16.82
The Joint Corp.,JYNT,154.8,NO,NSDQ,54.94499,50.68
Kaiser Aluminum Corporation,KALU,1137.05,NO,NSDQ,1204.48999,24.56
"Kforce, Inc.",KFRC,634.96,NO,NSDQ,1204.12695,17.35
"Kingstone Companies, Inc",KINS,54.24,NO,NSDQ,132.43499,18.25
"Kulicke and Soffa Industries, Inc.",KLIC,1514.54,NO,NSDQ,656.5,24.72
Kamada Ltd.,KMDA,329.45,NO,NSDQ,134.69299,28.1
"Kinsale Capital Group, Inc.",KNSL,2306.27,NO,NSDQ,397.35,38.19
"Kratos Defense & Security Solutions, Inc.",KTOS,1522.85,NO,NSDQ,756.50201,36.75
"Lakeland Industries, Inc.",LAKE,121.34,NO,NSDQ,116,19.51
Lamar Advertising Company,LAMR,4977.5,NO,NSDQ,1485.35705,9.5
Gladstone Land Corporation,LAND,288.6,NO,NSDQ,55.44699,21.88
Laureate Education Inc.,LAUR,1763.08,NO,NSDQ,3116.43505,6.62
"Lawson Products, Inc.",LAWS,264.31,NO,NSDQ,372.74499,15.26
"Lakeland Bancorp, Inc.",LBAI,523.29,NO,NSDQ,222.83299,9.02
Luther Burbank Corporation,LBC,545.28,NO,NSDQ,135.3,11.65
Liberty Broadband Corporation,LBRDA,22333.8,NO,NSDQ,24.06999,110.61
Liberty Broadband Corporation,LBRDK,22934.08,NO,NSDQ,15.24499,39.4
LCNB Corporation,LCNB,161.71,NO,NSDQ,68.98999,9.05
"Lifetime Brands, Inc.",LCUT,106.7,NO,NSDQ,715.59002,13.21
"Lincoln Electric Holdings, Inc.",LECO,4573.74,NO,NSDQ,2627.58593,21.46
Legacy Housing Corporation,LEGH,234,NO,NSDQ,162.30499,9.95
"Level One Bancorp, Inc.",LEVL,125.84,NO,NSDQ,76.94999,8.89
"Littelfuse, Inc.",LFUS,3309.48,NO,NSDQ,1416.07495,26.14
"LGI Homes, Inc.",LGIH,1236.04,NO,NSDQ,2111.90991,7.2
Ligand Pharmaceuticals Incorporated,LGND,1611.38,NO,NSDQ,127.38999,28.3
"LHC Group, Inc.",LHCG,3877.07,NO,NSDQ,2150.42211,26.23
Lincoln Educational Services Corporation,LINC,63.8,NO,NSDQ,286.07,10.08
Lindblad Expeditions Holdings Inc.,LIND,254.56,NO,NSDQ,342.5,22.76
"LiqTech International, Inc.",LIQT,87.57,NO,NSDQ,42.65,85.2
Lumentum Holdings Inc.,LITE,5877.4,NO,NSDQ,1734.958,15.26
LivaNova PLC,LIVN,2604.4,NO,NSDQ,1018,27.11
Lakeland Financial Corporation,LKFN,959.93,NO,NSDQ,189.16299,14.77
"Limelight Networks, Inc.",LLNW,654.74,NO,NSDQ,231.20399,114.21
"LeMaitre Vascular, Inc.",LMAT,544.23,NO,NSDQ,129.35,28.92
"Limbach Holdings, Inc.",LMB,21.25,NO,NSDQ,585,2.74
Limoneira Co,LMNR,231.08,NO,NSDQ,176.61999,121.31
Luminex Corporation,LMNX,1577.65,NO,NSDQ,344.96701,799.61
Landmark Infrastructure Partners LP,LMRK,249.61,NO,NSDQ,60.93999,36.98
"LIMESTONE BANCORP, INC.",LMST,73.69,NO,NSDQ,47.65,28.31
Landec Corporation,LNDC,299.99,NO,NSDQ,583.29602,77.88
"Live Oak Bancshares, Inc.",LOB,537.21,NO,NSDQ,219.52,39.18
"El Pollo Loco Holdings, Inc.",LOCO,379.12,NO,NSDQ,402.91799,40.76
Logitech International S.A.,LOGI,7933.22,NO,NSDQ,3082.70996,21.84
"LogMein, Inc.",LOGM,4136.11,NO,NSDQ,1318.93298,16.98
"Grand Canyon Education, Inc.",LOPE,3734.79,NO,NSDQ,844.58801,14.41
LPL Financial Holdings Inc.,LPLA,4253.25,NO,NSDQ,5334,10.07
Lattice Semiconductor Corporation,LSCC,2644.72,NO,NSDQ,411.66699,30.01
"Landstar System, Inc.",LSTR,3942.62,NO,NSDQ,3862.03808,20.13
Liberty Media Corporation,LSXMK,6311.01,NO,NSDQ,7946.25,15.86
"Lantronix, Inc.",LTRX,68.79,NO,NSDQ,59.59999,62
Luna Innovations Incorporated,LUNA,201.1,NO,NSDQ,82.21499,34.88
LexinFintech Holdings Ltd. Sponsored ADR,LX,1396.18,NO,NSDQ,1990.68994,3.97
LSI Industries Inc.,LYTS,150.8,NO,NSDQ,324.45999,52.46
"Manhattan Associates, Inc.",MANH,3691.9,NO,NSDQ,566.60601,37.67
ManTech International Corporation,MANT,3136.68,NO,NSDQ,2387.46191,25.4
Masimo Corporation,MASI,11259.71,NO,NSDQ,1032.40502,58.69
Matthews International Corporation,MATW,691.82,NO,NSDQ,1564.14001,6.46
Middlefield Banc Corp.,MBCN,109.01,NO,NSDQ,44.36999,14.88
Merchants Bancorp,MBIN,412.16,NO,NSDQ,179.36999,7.13
"Malibu Boats, Inc.",MBUU,612.4,NO,NSDQ,654.78198,9.6
Mercantile Bank Corporation,MBWM,357.18,NO,NSDQ,142.567,12.19
"MetroCity Bankshares, Inc.",MCBS,257.85,NO,NSDQ,101.09999,5.87
"MASTERCRAFT BOAT HOLDINGS, INC.",MCFT,175.32,NO,NSDQ,382.53799,5.7
"Monarch Casino & Resort, Inc.",MCRI,497.97,NO,NSDQ,233.05,20.11
"Allscripts Healthcare Solutions, Inc.",MDRX,1007,NO,NSDQ,1771.86206,9
"Medpace Holdings, Inc.",MEDP,3011.07,NO,NSDQ,891.07702,29.81
"Meet Group, Inc.(The)",MEET,440.46,NO,NSDQ,233.96699,10.11
"Mesa Air Group, Inc.",MESA,94.49,NO,NSDQ,622.07501,8.85
RAMACO RESOURCS,METC,95,NO,NSDQ,202.51499,6.03
Medallion Financial Corp.,MFIN,52.34,NO,NSDQ,131.24,3.09
Mackinac Financial Corporation,MFNC,103.65,NO,NSDQ,57.09999,9.65
MutualFirst Financial Inc.,MFSF,214.08,NO,NSDQ,86.4,12.95
Magic Software Enterprises Ltd.,MGIC,442.8,NO,NSDQ,340.85,14.14
"Magellan Health, Inc.",MGLN,1332.46,NO,NSDQ,7195.47021,14.41
"MGP Ingredients, Inc.",MGPI,607.22,NO,NSDQ,365,17.54
McGrath RentCorp,MGRC,1242.01,NO,NSDQ,585,12.88
The Middleby Corporation,MIDD,2893.22,NO,NSDQ,2616.62011,9.76
"The Michaels Companies, Inc.",MIK,346.56,NO,NSDQ,4913.92822,1.76
Mimecast Limited,MIME,2306.84,NO,NSDQ,495.27398,59.41
"Mobile Mini, Inc.",MINI,1100.7,NO,NSDQ,607.656,12.08
"Mitek Systems, Inc.",MITK,367.7,NO,NSDQ,96.76999,18.47
"MKS Instruments, Inc.",MKSI,5067.89,NO,NSDQ,2030.86303,18.12
"Mesa Laboratories, Inc.",MLAB,1002.16,NO,NSDQ,144,24.68
"Mellanox Technologies, Ltd.",MLNX,7001.58,NO,NSDQ,1426.19995,17.23
"Malvern Bancorp, Inc.",MLVF,88.19,NO,NSDQ,30.48999,12.6
"Merit Medical Systems, Inc.",MMSI,2220.28,NO,NSDQ,981.97998,30.79
"Monro Muffler Brake, Inc.",MNRO,1522.74,NO,NSDQ,1258.78503,21.12
MainStreet Bank,MNSB,117.87,NO,NSDQ,55.41999,8.3
"MidWestOne Financial Group, Inc.",MOFG,305.48,NO,NSDQ,184.615,7.3
Momo Inc.,MOMO,4800.41,NO,NSDQ,2415.84008,8.94
"Motorcar Parts of America, Inc.",MPAA,233.27,NO,NSDQ,564.79998,5.97
Mid Penn Bancorp,MPB,141.63,NO,NSDQ,84.5,10.34
"Monolithic Power Systems, Inc.",MPWR,8297.76,NO,NSDQ,698.40997,43.46
Meridian Bank,MRBK,75.63,NO,NSDQ,76.34999,9.4
Monroe Capital Corporation,MRCC,171.12,NO,NSDQ,64.024,6.26
Mercury Systems Inc,MRCY,4569.97,NO,NSDQ,784.69799,39.06
"Marten Transport, Ltd.",MRTN,1208.7,NO,NSDQ,855.65002,21.75
Marvell Technology Group Ltd.,MRVL,18196.09,NO,NSDQ,2969.35498,31.55
"Midland States Bancorp, Inc.",MSBI,356.98,NO,NSDQ,261.54998,6.89
Middlesex Water Company,MSEX,1030.64,NO,NSDQ,143.26699,28.97
MicroStrategy Incorporated,MSTR,1268.56,NO,NSDQ,515.05999,28.66
"Match Group, Inc.",MTCH,22835.79,NO,NSDQ,2263.59301,38.35
"MACOM Technology Solutions Holdings, Inc.",MTSI,1760.24,NO,NSDQ,489.63,69.06
Mvb Financial Corp.,MVBF,146.95,NO,NSDQ,127.5,11.66
"Myriad Genetics, Inc.",MYGN,1081.72,NO,NSDQ,711.14001,39.65
"MYR Group, Inc.",MYRG,437.91,NO,NSDQ,2282.56005,9.66
National Instruments Corporation,NATI,4927,NO,NSDQ,1310.80297,28.84
Navient Corporation,NAVI,1362.51,NO,NSDQ,1103,2.42
"Neurocrine Biosciences, Inc.",NBIX,9109.04,NO,NSDQ,1065.29797,29.64
Noble Midstream Partners LP,NBLX,219.98,NO,NSDQ,851.5,2.66
NBT Bancorp Inc.,NBTB,1368.4,NO,NSDQ,448.83999,15.58
Nicolet Bankshares Inc.,NCBS,535.18,NO,NSDQ,189.1,12.78
"National CineMedia, Inc.",NCMI,249.98,NO,NSDQ,416.635,8.72
Nordson Corporation,NDSN,9052.46,NO,NSDQ,2100.73999,29.34
"NeoGenomics, Inc.",NEO,3124.3,NO,NSDQ,458.88299,99.76
Neogen Corporation,NEOG,3397.75,NO,NSDQ,418.56698,58.6
Newtek Business Services Corp.,NEWT,310.63,NO,NSDQ,68.98999,6.78
"Northfield Bancorp, Inc.",NFBK,513.52,NO,NSDQ,128.83,15.2
New Fortress Energy LLC,NFE,2159.82,NO,NSDQ,701.63299,857.33
National General Holdings Corp,NGHC,1878.47,NO,NSDQ,5183.14013,5.39
Nice Ltd.,NICE,10183.85,NO,NSDQ,1673.55603,29.23
NIU TECH-ADR,NIU,597.67,NO,NSDQ,285.26998,38.29
"National Bankshares, Inc.",NKSH,174.96,NO,NSDQ,46.5,11.93
NMI Holdings Inc,NMIH,789.69,NO,NSDQ,450.55999,4.25
"Newmark Group, Inc.",NMRK,624.46,NO,NSDQ,2083.06689,2.52
"NN, Inc.",NNBR,103.5,NO,NSDQ,812.93701,6.37
Novanta Inc.,NOVT,2919.69,NO,NSDQ,549.78997,64.19
Northrim BanCorp Inc,NRIM,147.03,NO,NSDQ,97.4,10.69
"Insight Enterprises, Inc.",NSIT,1760.38,NO,NSDQ,8782.95703,9.17
"NAPCO Security Technologies, Inc.",NSSC,325.48,NO,NSDQ,105,24.5
"NetScout Systems, Inc.",NTCT,1896.6,NO,NSDQ,927.04998,14.72
"NETGEAR, Inc.",NTGR,640.67,NO,NSDQ,997.16497,11.9
Northern Technologies International Corporation,NTIC,63.68,NO,NSDQ,49.29999,100
Natus Medical Incorporated,NTUS,879.57,NO,NSDQ,485.20001,17.19
NetSol Technologies Inc.,NTWK,25.97,NO,NSDQ,61.09999,73.67
"Nuance Communications, Inc.",NUAN,5420.13,NO,NSDQ,1485.67504,22.88
"NuVasive, Inc.",NUVA,3031.94,NO,NSDQ,1044.79199,32.07
NovoCure Limited,NVCR,7291.73,NO,NSDQ,452.68798,175.07
"NV5 Global, Inc.",NVEE,517.82,NO,NSDQ,700,9.07
Nova Measuring Instruments Ltd.,NVMI,1064.82,NO,NSDQ,209,31.63
"Northwest Bancshares, Inc.",NWBI,1104.63,NO,NSDQ,502.71701,14.03
Northwest Pipe Company,NWPX,224.17,NO,NSDQ,310,8.17
"NEXTGEN HEALTHCARE, INC",NXGN,691.83,NO,NSDQ,561.24401,13.52
"Nexstar Media Group, Inc",NXST,2720.42,NO,NSDQ,4521.14404,3.94
"New York Mortgage Trust, Inc.",NYMT,747.39,NO,NSDQ,209.3,2.58
"Origin Bancorp, Inc.",OBNK,461.05,NO,NSDQ,213.11,12.64
OceanFirst Financial Corp.,OCFC,912.62,NO,NSDQ,354.21798,9.08
Oaktree Strategic Income Corp.,OCSI,185.35,NO,NSDQ,48.09999,9.46
Oaktree Specialty Lending Corp.,OCSL,539.88,NO,NSDQ,129.96499,9.52
"Office Depot, Inc.",ODP,936.49,NO,NSDQ,10265.17968,4.32
"Orion Energy Systems, Inc.",OESX,120.76,NO,NSDQ,149.19999,9.5
ORTHOFIX MEDICAL INC.,OFIX,636.55,NO,NSDQ,470.5,32.54
OFS Capital Corporation,OFS,58.86,NO,NSDQ,53.83,3.37
Universal Display Corporation,OLED,6536.48,NO,NSDQ,455.66799,43.56
"Ollie's Bargain Outlet Holdings, Inc.",OLLI,3958.18,NO,NSDQ,1454.83996,33.59
Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,OMAB,1299.34,NO,NSDQ,279.29,8.58
"Omnicell, Inc.",OMCL,2953.1,NO,NSDQ,1008.21002,22.78
Oasis Midstream Partners LP,OMP,163.65,NO,NSDQ,347.89999,1.44
ON Semiconductor Corporation,ON,6002.55,NO,NSDQ,5306.39599,15.87
Old National Bancorp,ONB,2244.45,NO,NSDQ,797.375,11.59
OneWater Marine Inc.,ONEW,115.52,NO,NSDQ,677.85302,36.09
Opus Bank,OPB,600.19,NO,NSDQ,248.36999,12.47
