Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange,F(1) Consensus Sales Est. ($mil),P/E (F1)
Office Properties Income Trust,OPI,1200.2,NO,NSDQ,620.005,4.73
"Opiant Pharmaceuticals, Inc.",OPNT,46.2,NO,NSDQ,29.67499,1634.97
Opera Limited Sponsored ADR,OPRA,551.92,NO,NSDQ,545.96002,10.48
Oportun Financial Corporation,OPRT,142.58,NO,NSDQ,729.78002,2.27
OptimizeRx Corp.,OPRX,139.19,NO,NSDQ,31.80299,178.31
Orrstown Financial Services Inc,ORRF,142.7,NO,NSDQ,96.09999,7.56
"Old Second Bancorp, Inc.",OSBC,200.83,NO,NSDQ,123.9,7.26
"OSI Systems, Inc.",OSIS,1337.36,NO,NSDQ,1225.23303,15.52
ONESPAN INC,OSPN,671.72,NO,NSDQ,259.39999,35.12
"One Stop Systems, Inc.",OSS,21.4,NO,NSDQ,64,10.83
Open Text Corporation,OTEX,10028.54,NO,NSDQ,3062.333,13.38
Otter Tail Corporation,OTTR,1741.89,NO,NSDQ,949.5,18.98
Bank OZK,OZK,2550.65,NO,NSDQ,924.44799,8.41
Pan American Silver Corp.,PAAS,4554.94,NO,NSDQ,1641.93994,23.26
PacWest Bancorp,PACW,1967.35,NO,NSDQ,1102.63305,7.7
Phibro Animal Health Corporation,PAHC,927.59,NO,NSDQ,799.32501,20.91
"Patrick Industries, Inc.",PATK,776.24,NO,NSDQ,1986.375,17.47
PCB BANCORP,PCB,127.26,NO,NSDQ,74.4,7.36
"Pacira BioSciences, Inc.",PCRX,1672.49,NO,NSDQ,438.26599,21.43
"PCTEL, Inc.",PCTI,114.2,NO,NSDQ,84.01,17.66
Paylocity Holding Corporation,PCTY,4740.64,NO,NSDQ,563.04498,49.37
"Patterson Companies, Inc.",PDCO,1465.83,NO,NSDQ,5542.29882,11.1
"PDF Solutions, Inc.",PDFS,529.27,NO,NSDQ,96.3,58.71
"PDL BioPharma, Inc.",PDLI,380.66,NO,NSDQ,115.25,30.8
Peoples Bancorp Inc.,PEBO,437.41,NO,NSDQ,200.667,12.78
Pegasystems Inc.,PEGA,6116.06,NO,NSDQ,1080.65002,535.67
Perion Network Ltd,PERI,123.86,NO,NSDQ,304.29998,9.08
"PetIQ, Inc.",PETQ,690.12,NO,NSDQ,801.86199,18.83
Preferred Bank,PFBC,523.59,NO,NSDQ,158.80999,8.61
"Profire Energy, Inc.",PFIE,33.86,NO,NSDQ,38.5,5.92
PennantPark Floating Rate Capital Ltd.,PFLT,250.84,NO,NSDQ,104.58,5.48
"Proofpoint, Inc.",PFPT,6908.88,NO,NSDQ,1042.333,85.49
"PFSweb, Inc.",PFSW,72.41,NO,NSDQ,301.55999,11.63
Peapack-Gladstone Financial Corporation,PGC,319.91,NO,NSDQ,186.16999,8.22
"Progyny, Inc.",PGNY,1758.86,NO,NSDQ,313.67999,230.33
"Premier, Inc.",PINC,4021.21,NO,NSDQ,1256.82202,11.67
Park-Ohio Holdings Corp.,PKOH,199.87,NO,NSDQ,1476.90002,8.56
"Photronics, Inc.",PLAB,736.51,NO,NSDQ,622.84997,16.88
"The Children's Place, Inc.",PLCE,359.82,NO,NSDQ,1751.90197,7.05
"Palomar Holdings, Inc.",PLMR,1363.98,NO,NSDQ,161.08,28.35
ePlus inc.,PLUS,865.51,NO,NSDQ,1470.80004,11.89
Plexus Corp.,PLXS,1732.24,NO,NSDQ,3191.38696,18.06
"Pinnacle Financial Partners, Inc.",PNFP,2701.16,NO,NSDQ,1086.72497,10.07
PennantPark Investment Corporation,PNNT,209.85,NO,NSDQ,113.18299,4.89
"The Pennant Group, Inc.",PNTG,488.21,NO,NSDQ,381,29.57
Insulet Corporation,PODD,12853.11,NO,NSDQ,855.51098,414.68
Pool Corporation,POOL,8594.66,NO,NSDQ,3048.04199,37.94
"Power Integrations, Inc.",POWI,2810.19,NO,NSDQ,447.77999,32.47
Pacific Premier Bancorp Inc,PPBI,1105.94,NO,NSDQ,592.50299,9.67
"PPD, Inc.",PPD,7846.54,NO,NSDQ,4182.75781,22.13
"PRA Group, Inc.",PRAA,1141.3,NO,NSDQ,1042.42102,11.66
"PRA Health Sciences, Inc.",PRAH,5580.81,NO,NSDQ,3051.63305,17.97
"Perceptron, Inc.",PRCP,25.39,NO,NSDQ,71.355,17.47
Career Education Corporation,PRDO,823.11,NO,NSDQ,657.5,8.22
"Perficient, Inc.",PRFT,1050.57,NO,NSDQ,600.40997,15.48
Progress Software Corporation,PRGS,1688.06,NO,NSDQ,432.79998,13.46
"PRGX Global, Inc.",PRGX,71.76,NO,NSDQ,166.07,15.49
Primoris Services Corporation,PRIM,660.13,NO,NSDQ,3481.80004,7.6
"Provident Financial Holdings, Inc.",PROV,95.56,NO,NSDQ,43.09999,10.47
"PURPLE INNOVATION, INC.",PRPL,564.75,NO,NSDQ,448.708,49.9
Prospect Capital Corporation,PSEC,1544.84,NO,NSDQ,568.45001,6.56
PTC Inc.,PTC,7507.11,NO,NSDQ,1438.45703,29.53
"P.A.M. Transportation Services, Inc.",PTSI,170.35,NO,NSDQ,496.6,9.85
People's Utah Bancorp,PUB,355.09,NO,NSDQ,119.507,9.9
Penn Virginia Corporation,PVAC,64.72,NO,NSDQ,426.66,0.74
"I.D. Systems, Inc.",PWFL,137.59,NO,NSDQ,138.08999,22.07
"Papa John's International, Inc.",PZZA,2324.09,NO,NSDQ,1642.97595,55.22
QAD Inc.,QADA,856.33,NO,NSDQ,306.35,137.22
"QCR Holdings, Inc.",QCRH,419.07,NO,NSDQ,219.033,8.33
Quidel Corporation,QDEL,5637.05,NO,NSDQ,553.992,43.99
QIWI PLC,QIWI,733,NO,NSDQ,340.82501,6.33
"Qualys, Inc.",QLYS,4262.12,NO,NSDQ,362.60598,42.91
Quantum Corporation,QMCO,159.44,NO,NSDQ,393.29998,11.43
"QuinStreet, Inc.",QNST,446.15,NO,NSDQ,490.88699,14.88
"Qurate Retail Group, Inc.",QRTEA,3088.65,NO,NSDQ,12071,3.86
RBB Bancorp,RBB,232.87,NO,NSDQ,124.86,7.58
Ribbon Communications Inc.,RBBN,327.24,NO,NSDQ,568,4.82
"Reliant Bancorp, Inc.",RBNC,124.33,NO,NSDQ,102.16999,7.76
"Rent-A-Center, Inc.",RCII,956.05,NO,NSDQ,2655.6499,7.38
"Rocky Brands, Inc.",RCKY,145.5,NO,NSDQ,277.20001,8.6
R1 RCM Inc.,RCM,1108.64,NO,NSDQ,1230.96704,45.52
"RCM Technologies, Inc.",RCMT,17.38,NO,NSDQ,198.99,3.31
Radware Ltd.,RDWR,1054.67,NO,NSDQ,264.20001,26.56
"Renewable Energy Group, Inc.",REGI,925.08,NO,NSDQ,2144.69995,4.79
"Recro Pharma, Inc.",REPH,190.22,NO,NSDQ,99.4,21.07
Reynolds Consumer Products Inc.,REYN,6548.96,NO,NSDQ,3118.95703,18.02
"RF Industries, Ltd.",RFIL,46.84,NO,NSDQ,65.08,11.71
RGC Resources Inc.,RGCO,204.84,NO,NSDQ,68,20.36
Repligen Corporation,RGEN,6064.14,NO,NSDQ,308.186,111.15
"Royal Gold, Inc.",RGLD,8224.82,NO,NSDQ,506.6,53.95
"Resources Connection, Inc.",RGP,323.69,NO,NSDQ,688.03002,10.12
"RCI Hospitality Holdings, Inc.",RICK,78.51,NO,NSDQ,161.89999,77.09
"Rambus, Inc.",RMBS,1374,NO,NSDQ,382.30999,13.33
"Rimini Street, Inc.",RMNI,268.62,NO,NSDQ,311.20001,15.8
The RMR Group Inc.,RMR,882.03,NO,NSDQ,617.92999,14.11
Renasant Corporation,RNST,1319.61,NO,NSDQ,574.32,10.73
"Construction Partners, Inc.",ROAD,887.01,NO,NSDQ,849.76898,20.43
"Gibraltar Industries, Inc.",ROCK,1422.18,NO,NSDQ,1204.44995,14.6
Retail Opportunity Investments Corp.,ROIC,929.7,NO,NSDQ,300.048,7.57
RBC Bearings Incorporated,ROLL,3094.19,NO,NSDQ,692.15698,26.94
KLR Energy Acquisition Corp.,ROSE,16.02,NO,NSDQ,220,0.93
"RealPage, Inc.",RP,5742.89,NO,NSDQ,1167.79003,31.26
"Thunder Bridge Acquisition, Ltd.",RPAY,640.43,NO,NSDQ,221.05999,29.83
"Rapid7, Inc.",RPD,2341.46,NO,NSDQ,390.61999,422.18
"Red River Bancshares, Inc.",RRBI,258.63,NO,NSDQ,83.51999,10.51
Rattler Midstream LP,RTLR,939.39,NO,NSDQ,446.013,5.33
Sunrun Inc.,RUN,1554.55,NO,NSDQ,815.23999,51.35
"Ruth's Hospitality Group, Inc.",RUTH,245.66,NO,NSDQ,389.16299,15.61
Riverview Bancorp Inc,RVSB,112.83,NO,NSDQ,55.2,9.54
Ryanair Holdings PLC,RYAAY,12780.04,NO,NSDQ,7778.60986,31.31
"Sanderson Farms, Inc.",SAFM,3038.16,NO,NSDQ,3449.79003,215.72
"Saia, Inc.",SAIA,2122.31,NO,NSDQ,1751.26293,20
"Salisbury Bancorp, Inc.",SAL,97.47,NO,NSDQ,44.79999,10.55
Silvercrest Asset Management Group Inc.,SAMG,129.24,NO,NSDQ,112.41,6.43
"Sandy Spring Bancorp, Inc.",SASR,776.82,NO,NSDQ,412.45001,7.92
"Cassava Sciences, Inc.",SAVA,176.07,NO,NSDQ,50,7.49
SB ONE BANCORP,SBBX,162.04,NO,NSDQ,76.75,8.09
Seacoast Banking Corporation of Florida,SBCF,982.46,NO,NSDQ,310.70001,10.82
"SB Financial Group, Inc.",SBFG,107.21,NO,NSDQ,55.09999,10.24
"Sinclair Broadcast Group, Inc.",SBGI,1399.19,NO,NSDQ,6791.13476,5.25
Star Bulk Carriers Corp.,SBLK,508.23,NO,NSDQ,734.47497,7.56
Signature Bank,SBNY,5037.21,NO,NSDQ,1405.59497,10.07
"Sabra Healthcare REIT, Inc.",SBRA,2389.39,NO,NSDQ,620.86199,7.06
"Southside Bancshares, Inc.",SBSI,940.95,NO,NSDQ,221.067,16.32
SciPlay Corporation,SCPL,1364.31,NO,NSDQ,500.32299,11.59
"ScanSource, Inc.",SCSC,568,NO,NSDQ,3182.94995,9.15
"Shoe Carnival, Inc.",SCVL,290.55,NO,NSDQ,988.79998,11.85
"SolarEdge Technologies, Inc.",SEDG,4996.11,NO,NSDQ,1738.25,20.12
SEI Investments Company,SEIC,7322.58,NO,NSDQ,1611.46496,16.97
"ServisFirst Bancshares, Inc.",SFBS,1705.96,NO,NSDQ,356.47,12.33
"Sprouts Farmers Market, Inc.",SFM,2549.53,NO,NSDQ,6288.92822,15.98
Simmons First National Corporation,SFNC,1952.96,NO,NSDQ,838.23297,9.4
"Southern First Bancshares, Inc.",SFST,199.88,NO,NSDQ,86.4,7.15
"Superior Uniform Group, Inc.",SGC,108.09,NO,NSDQ,392.19,7.42
"SMART Global Holdings, Inc.",SGH,543.92,NO,NSDQ,1122.47302,8.96
Scientific Games Corp,SGMS,977.2,NO,NSDQ,3209.7229,578.33
Shenandoah Telecommunications Co,SHEN,2606.06,NO,NSDQ,640.26202,43.52
"Steven Madden, Ltd.",SHOO,1810.59,NO,NSDQ,1579.90002,15.76
Sify Technologies Limited,SIFY,39.22,NO,NSDQ,362.5,19.8
"Selective Insurance Group, Inc.",SIGI,2885.09,NO,NSDQ,2887.00488,12.06
Silicon Motion Technology Corporation,SIMO,1585.78,NO,NSDQ,546.28802,14.01
Sina Corporation,SINA,2328.53,NO,NSDQ,2106.77001,15.45
Sirius XM Holdings Inc.,SIRI,24104.17,NO,NSDQ,7976.24902,24.11
SiTime Corporation,SITM,294.14,NO,NSDQ,100.93299,325.5
"SkyWest, Inc.",SKYW,1295.12,NO,NSDQ,2472.03295,9.75
"Silicon Laboratories, Inc.",SLAB,4002.46,NO,NSDQ,838.73699,34.4
"Select Bancorp, Inc.",SLCT,135.52,NO,NSDQ,61.54,11.43
Silgan Holdings Inc.,SLGN,3782.03,NO,NSDQ,4554.13818,14.24
SLM Corporation,SLM,2794.41,NO,NSDQ,1578.40002,4.33
"Simulations Plus, Inc.",SLP,745.01,NO,NSDQ,39.47,77.65
Solar Capital Ltd.,SLRC,586.15,NO,NSDQ,139.93499,8.63
"Southern Missouri Bancorp, Inc.",SMBC,214.43,NO,NSDQ,92.76,7.49
"SmartFinancial, Inc.",SMBK,203.84,NO,NSDQ,101.33999,11.34
Sharps Compliance Corp,SMED,120.58,NO,NSDQ,51.823,82.56
"Summit Financial Group, Inc.",SMMF,208.75,NO,NSDQ,105,7.48
The Simply Good Foods Company,SMPL,1684.39,NO,NSDQ,840.29699,19.73
"Smith Micro Software, Inc.",SMSI,205.71,NO,NSDQ,56.79999,13.71
Semtech Corporation,SMTC,2841.03,NO,NSDQ,549.466,29.18
SMTC Corporation,SMTX,74.15,NO,NSDQ,394,11.44
Sleep Number Corporation,SNBR,778.72,NO,NSDQ,1530.03405,18.76
Sotherly Hotels Inc.,SOHO,24.9,NO,NSDQ,191.14999,4.54
"Southern National Bancorp of Virginia, Inc.",SONA,218.65,NO,NSDQ,100.69999,6.38
"SORL Auto Parts, Inc.",SORL,85.13,NO,NSDQ,499.58499,5.07
SP Plus Corporation,SP,467.53,NO,NSDQ,899.09997,7.74
"South Plains Financial, Inc.",SPFI,211.26,NO,NSDQ,183.5,9.32
Splunk Inc.,SPLK,20403.29,NO,NSDQ,2549.52099,1571.05
Sapiens International Corporation N.V.,SPNS,1202.48,NO,NSDQ,364.85998,28.61
"SPS Commerce, Inc.",SPSC,1786.67,NO,NSDQ,306.11999,37.36
SpartanNash Company,SPTN,608.85,NO,NSDQ,8722.95996,12.02
"Sportsman's Warehouse Holdings, Inc.",SPWH,284.47,NO,NSDQ,1022.29998,10.37
1st Source Corporation,SRCE,836.6,NO,NSDQ,311.1,11.44
"Stericycle, Inc.",SRCL,4249.58,NO,NSDQ,3245.10009,17.22
"Sensus Healthcare, Inc.",SRTS,41.05,NO,NSDQ,30.13999,55.33
South State Corporation,SSB,1774.91,NO,NSDQ,976.13299,11.54
"SS&C Technologies Holdings, Inc.",SSNC,13112.78,NO,NSDQ,4720.48779,12.78
Silver Standard Resources Inc.,SSRM,2148.06,NO,NSDQ,848.94,12.72
ShotSpotter Inc.,SSTI,381.37,NO,NSDQ,46.91799,131.8
"Stratasys, Ltd.",SSYS,875.96,NO,NSDQ,572.82702,117.02
STAAR Surgical Company,STAA,1684.76,NO,NSDQ,177.3,83.27
"Extended Stay America, Inc.",STAY,1877.55,NO,NSDQ,1151.79101,31.28
"S&T Bancorp, Inc.",STBA,998.57,NO,NSDQ,328.47,11.29
State Auto Financial Corporation,STFC,1050.48,NO,NSDQ,1427.69995,17.2
"Steel Dynamics, Inc.",STLD,5006.46,NO,NSDQ,8806.35351,13.91
Stamps.com Inc.,STMP,2523.61,NO,NSDQ,587.79998,34.37
StoneCo Ltd.,STNE,6117.75,NO,NSDQ,599.14501,35.05
Strategic Education Inc.,STRA,3176.71,NO,NSDQ,1048,18.7
Sterling Construction Company Inc,STRL,245.37,NO,NSDQ,1382,6.69
Strattec Security Corporation,STRT,54.13,NO,NSDQ,411.76998,48.86
"Spirit of Texas Bancshares, Inc.",STXB,177.41,NO,NSDQ,112.3,9.02
Solar Senior Capital Ltd.,SUNS,196.55,NO,NSDQ,35.15,9.46
"Supernus Pharmaceuticals, Inc.",SUPN,995.52,NO,NSDQ,362.432,15.33
Hospitality Properties Trust,SVC,934.73,NO,NSDQ,2159.36694,1.63
"Stock Yards Bancorp, Inc.",SYBT,674.61,NO,NSDQ,175.14999,12.45
"Sykes Enterprises, Incorporated",SYKE,1137.24,NO,NSDQ,1707.92504,11.46
Synaptics Incorporated,SYNA,2152.81,NO,NSDQ,1340.09301,11.06
"Syneos Health, Inc.",SYNH,5254.92,NO,NSDQ,4470.99023,17.54
TravelCenters of America LLC,TA,71.62,NO,NSDQ,5471.43017,6.73
"Del Taco Restaurants, Inc.",TACO,171.69,NO,NSDQ,493.26699,28.35
"The Bancorp, Inc.",TBBK,342.11,NO,NSDQ,263.40499,5.3
"Triumph Bancorp, Inc.",TBK,563.39,NO,NSDQ,292.48498,22.87
"Texas Capital Bancshares, Inc.",TCBI,1313.35,NO,NSDQ,980.03302,13.26
TriCo Bancshares,TCBK,846.17,NO,NSDQ,300.91,12.32
TCF Financial Corporation,TCF,3598.94,NO,NSDQ,2110.25,9.77
"Tactile Systems Technology, Inc.",TCMD,1012.74,NO,NSDQ,213.84599,130.93
BLACKROCK TCP CAPITAL CORP.,TCPC,444.22,NO,NSDQ,166.76499,5.56
"THL Credit, Inc.",TCRD,94.98,NO,NSDQ,38.415,4.9
Tucows Inc.,TCX,550.54,NO,NSDQ,338.1,40.09
Atlassian Corporation PLC,TEAM,18571.16,NO,NSDQ,1580.49401,143.21
Tech Data Corporation,TECD,4943.95,NO,NSDQ,35981.375,11.96
Bio-Techne Corp,TECH,7741.35,NO,NSDQ,726.328,46.13
"Teradyne, Inc.",TER,10330.13,NO,NSDQ,2430.71801,20.4
TFS Financial Corporation,TFSL,3756.53,NO,NSDQ,277.01998,60.96
Tecnoglass Inc.,TGLS,154.73,NO,NSDQ,422.962,4.79
Platinum Eagle Acquisition Corp.,TH,162.65,NO,NSDQ,252.25999,17.19
First Financial Corporation Indiana,THFF,437.93,NO,NSDQ,184.89999,11.11
Cesca Therapeutics Inc.,THMO,53.36,NO,NSDQ,25.85,54.41
Gentherm Inc,THRM,1119.12,NO,NSDQ,868.38,20.43
"Interface, Inc.",TILE,474.55,NO,NSDQ,1174.25,8.31
Titan Machinery Inc.,TITN,198.78,NO,NSDQ,1108.5,890
TiVo Corporation,TIVO,860.63,NO,NSDQ,679.583,6.89
"Telenav, Inc.",TNAV,236.43,NO,NSDQ,259.63,18.18
Towne Bank,TOWN,1335.67,NO,NSDQ,537.88,12.89
"TPI Composites, Inc.",TPIC,559.27,NO,NSDQ,1503.10302,38.45
"LendingTree, Inc.",TREE,2813.24,NO,NSDQ,1012.91302,51.47
Tabula Rasa Healthcare Inc.,TRHC,1362.39,NO,NSDQ,343.742,73.34
"TripAdvisor, Inc.",TRIP,2509.41,NO,NSDQ,1266.76599,15.52
Trimble Inc.,TRMB,8148.66,NO,NSDQ,3103.26806,19.01
Trustmark Corporation,TRMK,1535.91,NO,NSDQ,608.625,14.49
"Transcat, Inc.",TRNS,197.5,NO,NSDQ,181.6,22.68
TriMas Corporation,TRS,1005.27,NO,NSDQ,750.43499,17.23
TrustCo Bank Corp NY,TRST,529.42,NO,NSDQ,169.39999,10.56
"TriState Capital Holdings, Inc.",TSC,374.72,NO,NSDQ,205.19299,9.16
Tower Semiconductor Ltd.,TSEM,1959.96,NO,NSDQ,1252.15795,17.23
Amaya Inc.,TSG,7267.35,NO,NSDQ,2610.46997,13.72
The Trade Desk Inc.,TTD,11695.4,NO,NSDQ,770.27001,86.41
"TeleTech Holdings, Inc.",TTEC,1676.97,NO,NSDQ,1737.31604,18.53
"Tetra Tech, Inc.",TTEK,4090.36,NO,NSDQ,2473.05004,22.26
"TechTarget, Inc.",TTGT,582.79,NO,NSDQ,146.447,19.16
"TTM Technologies, Inc.",TTMI,1140.1,NO,NSDQ,2478.47998,12.85
"Healthways, Inc.",TVTY,346.87,NO,NSDQ,1258.96203,5.74
Tradeweb Markets Inc.,TW,11893.57,NO,NSDQ,877.35198,41.57
HOSTESS BRANDS,TWNK,1538.77,NO,NSDQ,991.58801,16.36
"Texas Roadhouse, Inc.",TXRH,3183.61,NO,NSDQ,2388.84912,161.72
"United Bankshares, Inc.",UBSI,2637.75,NO,NSDQ,834.74102,12.35
"United Community Banks, Inc.",UCBI,1431.15,NO,NSDQ,591.25,11.24
"Ultra Clean Holdings, Inc.",UCTT,631.44,NO,NSDQ,1030,12.77
Universal Electronics Inc.,UEIC,541.96,NO,NSDQ,755.19,9.61
"Universal Forest Products, Inc.",UFPI,2326.46,NO,NSDQ,4497.45019,12.02
"UFP Technologies, Inc.",UFPT,325.65,NO,NSDQ,210.5,16.06
Amerco,UHAL,4952.31,NO,NSDQ,3944.30004,11.24
United Insurance Holdings Corp.,UIHC,368.32,NO,NSDQ,819.19,11.41
"Universal Logistics Holdings, Inc.",ULH,348.18,NO,NSDQ,1590,10.02
UMB Financial Corporation,UMBF,2211.06,NO,NSDQ,1086.36694,14.44
Umpqua Holdings Corporation,UMPQ,2354.28,NO,NSDQ,1132.19995,10.45
Uniti Group Inc.,UNIT,1224.33,NO,NSDQ,1056.06701,3.54
"Unity Bancorp, Inc.",UNTY,134.33,NO,NSDQ,71.3,6.93
"Upland Software, Inc.",UPLD,698.26,NO,NSDQ,272.57,12.29
"Urban Outfitters, Inc.",URBN,1538.03,NO,NSDQ,3840.87695,12.48
"U S Concrete, Inc.",USCR,265.85,NO,NSDQ,1342.53002,15.31
United Therapeutics Corporation,UTHR,4880.45,NO,NSDQ,1387.07299,11.05
Univest Corporation of Pennsylvania,UVSP,449.32,NO,NSDQ,228.16,11.93
"Veritex Holdings, Inc.",VBTX,718.08,NO,NSDQ,290,8.01
Visteon Corporation,VC,1428.97,NO,NSDQ,2771.53491,66.96
"Victory Capital Holdings, Inc.",VCTR,993.26,NO,NSDQ,789.04699,4.25
Veeco Instruments Inc.,VECO,491.18,NO,NSDQ,446,17.43
VEON Ltd.,VEON,2863.47,NO,NSDQ,8490.61035,6.52
"Village Farms International, Inc.",VFF,187.31,NO,NSDQ,169.67999,26.29
Vonage Holdings Corp.,VG,1989.51,NO,NSDQ,1195.703,55.61
Viavi Solutions Inc.,VIAV,2738.86,NO,NSDQ,1176.41003,16.75
Vicor Corporation,VICR,2023.2,NO,NSDQ,305,74.37
"Viomi Technology Co., Ltd. Sponsored ADR",VIOT,398.98,NO,NSDQ,880.77001,8
"Virtu Financial, Inc.",VIRT,4660.22,NO,NSDQ,1451.53503,10.21
Meridian Bioscience Inc.,VIVO,457.41,NO,NSDQ,197.13,36.83
Valley National Bancorp,VLY,2848.45,NO,NSDQ,1130.31005,9.24
Vanda Pharmaceuticals Inc.,VNDA,647.66,NO,NSDQ,248.46699,37.31
"Vera Bradley, Inc.",VRA,144.74,NO,NSDQ,517.5,5.42
VAREX IMAGING,VREX,915.15,NO,NSDQ,803.04302,18.35
Verint Systems Inc.,VRNT,2823.98,NO,NSDQ,1382.06701,12.01
VERRA MOBILITY CORP,VRRM,1186.51,NO,NSDQ,394.54,13.06
"Virtus Investment Partners, Inc.",VRTS,583.78,NO,NSDQ,468.33999,6.1
Virtusa Corporation,VRTU,910.76,NO,NSDQ,1314.14501,12.18
Viasat Inc.,VSAT,2565.93,NO,NSDQ,2455.76391,971.77
"Washington Federal, Inc.",WAFD,1940.16,NO,NSDQ,525.20001,11.26
"Washington Trust Bancorp, Inc.",WASH,568.64,NO,NSDQ,194.69999,11.81
Weibo Corporation,WB,8211.71,NO,NSDQ,1684.44299,15.75
WD-40 Company,WDFC,2372,NO,NSDQ,394,41.15
The Wendy's Company,WEN,4216.42,NO,NSDQ,1637.59094,49.19
"Werner Enterprises, Inc.",WERN,2769.7,NO,NSDQ,2403.55297,20.31
"WisdomTree Investments, Inc.",WETF,457.58,NO,NSDQ,234.348,20.17
"WhiteHorse Finance, Inc.",WHF,209.16,NO,NSDQ,64.067,7.19
Wingstop Inc.,WING,3357.8,NO,NSDQ,220.764,142.67
Wix.com Ltd.,WIX,6699.59,NO,NSDQ,944.36999,126.61
"Willdan Group, Inc.",WLDN,242.81,NO,NSDQ,441.57998,8.75
Wright Medical Group N.V.,WMGI,3730.71,NO,NSDQ,1022.02398,65.65
Western New England Bancorp,WNEB,141.51,NO,NSDQ,69.65,12.52
World Acceptance Corporation,WRLD,452.22,NO,NSDQ,638.60998,7.94
"WesBanco, Inc.",WSBC,1546.15,NO,NSDQ,580.02502,10.19
"Waterstone Financial, Inc.",WSBF,349.84,NO,NSDQ,199.89999,10.41
WillScot Corporation,WSC,1217.72,NO,NSDQ,1100.08703,20.44
WSFS Financial Corporation,WSFS,1182.48,NO,NSDQ,602.59002,8.31
West Bancorporation,WTBA,268.14,NO,NSDQ,77.61,9.09
Wintrust Financial Corporation,WTFC,2066,NO,NSDQ,1496.66699,11.09
"WW International, Inc.",WW,1388,NO,NSDQ,1515.83398,10.26
"Woodward, Inc.",WWD,3247.05,NO,NSDQ,2699.74194,11.83
XBiotech Inc.,XBIT,395.27,NO,NSDQ,28,72.11
XP Inc.,XP,12636.2,NO,NSDQ,1422.31994,44.61
"XPEL, Inc.",XPEL,301.53,NO,NSDQ,136.83,23.23
Tessera Holding Corporation,XPER,732.47,NO,NSDQ,409.1,4.83
Yintech Investment Holdings Limited,YIN,424.55,NO,NSDQ,274.01,12.13
Yunji Inc. Sponsored ADR,YJ,804.42,NO,NSDQ,1860.16003,20.16
Yandex N.V.,YNDX,11690.14,NO,NSDQ,3089.14697,32.53
The York Water Company,YORW,544.5,NO,NSDQ,53.04999,34.71
YY Inc.,YY,4796.83,NO,NSDQ,4158.42675,16.92
Zix Corporation,ZIXI,299.91,NO,NSDQ,209.88299,10.04
Zynga Inc.,ZNGA,7250.81,NO,NSDQ,1743.93395,33.13
"Zscaler, Inc.",ZS,8731.26,NO,NSDQ,414.785,465.52
Zumiez Inc.,ZUMZ,484.89,NO,NSDQ,949.19201,12.46
Zovio Inc,ZVO,50.05,NO,NSDQ,337.5,3.93
Zynex Inc.,ZYXI,496,NO,NSDQ,78.55,39.72
